Firm,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
ANN,10/29/20,40.32,327584,3.22,8.679245283,8.679250224,42.245045,82.2478214,40.24,41.47,40.32,73.94305436
ANN,09/30/20,37.1,14101656,-1.58,-4.084798345,-4.084803751,38.871307,67.69330026,37.69,39,35.34,60.05176877
ANN,08/31/20,38.68,12725970,0.23,0.598179454,1.589337803,40.526745,74.83496549,38.91,41.79,38.11,66.86798965
ANN,07/31/20,38.45,11959583,1.75,4.768392371,4.768388982,39.892715,72.09971959,39.32,39.94,36.66,65.87575496
ANN,06/30/20,36.7,15520395,1.43,4.054437199,4.054442065,38.077053,64.26683779,36.4,37.13,34.06,58.32614323
ANN,05/29/20,35.27,12570835,6.72,23.53765324,23.53765446,36.593395,57.86624245,34.19,35.49,27.86,52.15703192
ANN,04/30/20,28.55,13902397,1.36,5.001838911,5.001832669,29.621248,27.78795513,28.95,30.64,27.7,23.16652286
ANN,03/31/20,27.19,24956800,-2.41,-8.141891892,-8.141892675,28.21022,21.70069025,29.75,30.49,20.19,17.29939603
ANN,02/28/20,29.6,13221875,-2.44,-7.615480649,-6.62925024,30.710648,32.48769629,29.2,33.43,28.8,27.69628991
ANN,01/31/20,32.04,9118845,3.01,10.36858422,10.36858508,32.89108,41.89421915,31.82,32.62,28.96,38.22260569
ANN,12/31/19,29.03,6565325,-0.63,-2.124072825,-2.124064101,29.801125,28.563956,29.22,30,28.54,25.23727351
ANN,11/29/19,29.66,9161053,2.06,7.463768116,7.463765574,30.447857,31.35399914,29.82,29.92,27.5,27.95513374
ANN,10/31/19,27.6,9395698,0.19,0.693177672,0.693181378,28.333138,22.23096635,27.86,28.1,26.07,19.06816221
ANN,09/30/19,27.41,11627519,0.16,0.587155963,0.587155714,28.13809,21.38951682,27.53,28.44,26.84,18.24849008
ANN,08/30/19,27.25,14868308,-0.65,-2.329749104,-0.90086005,27.97384,20.68093184,27.43,28.1,25.52,17.55823986
ANN,07/31/19,27.9,9807889,1.05,3.910614525,3.910606094,28.228136,21.77798102,27.73,28.14,26.46,20.36238136
ANN,06/28/19,26.85,10792364,1.62,6.420927467,6.420939178,27.165789,17.19494823,26.91,27.27,24.34,15.83261432
ANN,05/31/19,25.23,13440617,-1.77,-6.555555556,-6.555565207,25.526733,10.123956,25.61,27.38,25.02,8.843830889
ANN,04/30/19,27,9564177,1.58,6.215578285,6.215579395,27.317553,17.84966782,27.04,27.5,25.22,16.4797239
ANN,03/29/19,25.42,11189873,0.8,3.249390739,3.249390866,25.71897,10.95327869,25.3,26.48,24.62,9.66350302
ANN,02/28/19,24.62,14723511,1.2,5.12382579,6.360209223,24.909561,7.461436583,24.84,25.75,22.9,6.212251941
ANN,01/31/19,23.42,13355096,1.38,6.261343013,6.261343013,23.42,1.035375324,23.57,24,21.07,1.035375324
ANN,12/31/18,22.04,13940086,-0.77,-3.375712407,-3.375712407,22.04,-4.918032787,22.46,23.96,21.13,-4.918032787
ANN,11/30/18,22.81,12445972,-0.37,-1.596203624,-1.596203624,22.81,-1.596203624,23.07,23.85,22.49,-1.596203624
ANN,10/31/18,23.18,18081484,,,,23.18,,23.27,25.55,22.07,
AVH,10/29/20,6.24,270235,-0.66,-9.565217391,-9.565217391,6.24,235.483871,6.22,7.67,6.04,235.483871
AVH,09/30/20,6.9,10812705,-0.12,-1.709401709,-1.709401709,6.9,270.9677419,7.12,8.05,6.6,270.9677419
AVH,08/31/20,7.02,12255610,0.95,15.65074135,15.65074135,7.02,277.4193548,6.85,7.1,5.8,277.4193548
AVH,07/31/20,6.07,17305023,-2.93,-32.55555556,-32.55555556,6.07,226.344086,6.15,9,5.94,226.344086
AVH,06/30/20,9,17153400,-0.5,-5.263157895,-5.263157895,9,383.8709677,8.41,10.2,7.45,383.8709677
AVH,05/29/20,9.5,14633330,0.2,2.150537634,2.150537634,9.5,410.7526882,9.5,10.1,8.3,410.7526882
AVH,04/30/20,9.3,16392566,-0.9,-8.823529412,-8.823529412,9.3,400,9,11.24,8,400
AVH,03/31/20,10.2,35041580,-1.8,-15,-15,10.2,448.3870968,10.2,13.3,6.5,448.3870968
AVH,02/28/20,12,13893656,-1.5,-11.11111111,-11.11111111,12,545.1612903,12.1,17.3,11.599999,545.1612903
AVH,01/31/20,13.5,10235340,0.6,4.651162791,4.651162791,13.5,625.8064516,12.7,15.5,11.900001,625.8064516
AVH,12/31/19,12.9,10878449,0.4,3.2,3.2,12.9,593.5483871,13.099999,13.400001,10.5,593.5483871
AVH,11/29/19,12.5,24403520,0.599999,5.04200798,5.04200798,12.5,572.0430108,12.5,14.8,10.1,572.0430108
AVH,10/31/19,11.900001,8125305.7,0.100002,0.847474648,0.847474648,11.900001,539.785,12.200001,14.5,10.5,539.785
AVH,09/30/19,11.799999,13879037,2.699999,29.67031868,29.67031868,11.799999,534.4085484,11,12.6,8.5,534.4085484
AVH,08/30/19,9.1,5034755.4,0.4,4.597701149,4.597701149,9.1,389.2473118,9.2,10,6.8,389.2473118
AVH,07/31/19,8.7,3421767.3,0.3,3.571428571,3.571428571,8.7,367.7419355,8.5,9.5,7.4,367.7419355
AVH,06/28/19,8.4,4727575.7,-0.2,-2.325581395,-2.325581395,8.4,351.6129032,8.2,8.7,6.7000003,351.6129032
AVH,05/31/19,8.6,7001164.6,0.9,11.68831169,11.68831169,8.6,362.3655914,8.9,10.2,6.5,362.3655914
AVH,04/30/19,7.7,14309819,2,35.0877193,35.0877193,7.7,313.9784946,8,10.8,5.7,313.9784946
AVH,03/29/19,5.7,11295571,3,111.1111111,111.1111111,5.7,206.4516129,5.7,5.8999996,2.6,206.4516129
AVH,02/28/19,2.7,4988075,0,0,0,2.7,45.16129032,2.8,3.1,2.5,45.16129032
AVH,01/31/19,2.7,6684177.2,1.08,66.66666667,66.66666667,2.7,45.16129032,2.3999999,2.7,1.58,45.16129032
AVH,12/31/18,1.62,933027.8,-0.0200001,-1.219518218,-1.219518218,1.62,-12.90322581,1.5600001,1.68,1.54,-12.90322581
AVH,11/30/18,1.6400001,3199327.1,-0.2199999,-11.82795161,-11.82795161,1.6400001,-11.82795161,,1.94,1.4,-11.82795161
AVH,10/31/18,1.86,5646066,,,,1.86,,1.86,2.8,1.78,
COH,10/29/20,217.93,186628,19.93,10.06565657,10.06564906,223.78102,26.01701768,220.1,229.56,194.585,22.7221534
COH,09/30/20,198,4489764,5.85,3.044496487,3.044500582,203.31595,14.49259489,200.39,203.5,187.03,11.49904268
COH,08/31/20,192.15,4962614,1.93,1.014614657,1.014611032,197.30888,11.10985471,194,220.7,188,8.204752787
COH,07/31/20,190.22,3908519,1.29,0.682792569,0.682795571,195.32707,9.993845028,193.59,206.01,185.35,7.117918685
COH,06/30/20,188.93,5462055,-4.08,-2.11388011,-2.11387979,194.00243,9.24790517,191.59,198.7,185.37,6.391485528
COH,05/29/20,193.01,4810066,8.51,4.612466125,4.612467155,198.19197,11.60714608,191.17,197.39,177.415,8.689041559
COH,04/30/20,184.5,7241067,-2.95,-1.573753001,-1.573757018,189.45349,6.686276608,187,202.32,176,3.896835229
COH,03/31/20,187.45,11372390,-20.14,-9.70181608,-8.841830102,192.4827,8.392104967,188.94,218.42,154.6,5.55805834
